Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1703780235,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1703780236,1,,Aggregated,0.000000,0.000000,610,610,610,610,610,610,610,610,610,610,610,2,0,343.9620420000001,476.9477710000001,343.9620420000001,609.9335000000001,137.0
1703780237,2,,Aggregated,0.000000,0.000000,470,470,480,480,610,610,610,610,610,610,610,6,0,370.0,437.43627799999996,343.9620420000001,609.9335000000001,137.0
1703780238,3,,Aggregated,0.000000,0.000000,400,480,530,530,610,630,630,630,630,630,630,11,0,400.0,447.2331364545455,339.5864999999998,634.2971670000002,137.0
1703780239,4,,Aggregated,0.000000,0.000000,470,530,560,610,610,630,630,630,630,630,630,14,0,400.0,464.2473661428572,339.5864999999998,634.2971670000002,137.0
1703780240,5,,Aggregated,3.000000,0.000000,560,630,720,920,970,1100,1100,1100,1100,1100,1100,20,0,530.0,595.92186265,339.5864999999998,1115.873,137.0
1703780241,6,,Aggregated,3.500000,0.000000,720,890,920,970,980,1100,1100,1100,1100,1100,1100,28,0,630.0,692.0615789285713,339.5864999999998,1115.873,137.0
1703780242,7,,Aggregated,3.600000,0.000000,860,890,970,980,1000,1100,1100,1100,1100,1100,1100,35,0,860.0,739.4176737999999,339.5864999999998,1115.873,137.0
1703780243,8,,Aggregated,3.833333,0.000000,890,920,980,990,1000,1100,1600,1600,1600,1600,1600,41,0,890.0,785.8010711707316,339.5864999999998,1562.6010409999997,137.0
1703780244,9,,Aggregated,4.142857,0.000000,890,970,1000,1000,1100,1500,1600,1600,1600,1600,1600,47,0,890.0,834.8745372765953,339.5864999999998,1618.8284169999995,137.0
1703780245,10,,Aggregated,4.375000,0.000000,890,1000,1000,1100,1400,1600,1600,1700,1700,1700,1700,54,0,890.0,893.950527796296,339.5864999999998,1685.8249579999995,137.0
1703780246,11,,Aggregated,4.666667,0.000000,970,1000,1100,1200,1500,1600,1700,1700,1700,1700,1700,61,0,970.0,957.165060131147,339.5864999999998,1685.8249579999995,137.0
1703780247,12,,Aggregated,5.100000,0.000000,990,1100,1300,1400,1600,1700,1800,1800,1800,1800,1800,68,0,980.0,1014.43357967647,339.5864999999998,1777.1530000000002,137.0
1703780248,13,,Aggregated,5.700000,0.000000,1000,1200,1500,1600,1600,1700,1800,1800,1800,1800,1800,74,0,1000.0,1065.9489583378374,339.5864999999998,1780.7154579999994,137.0
1703780249,14,,Aggregated,6.000000,0.000000,1000,1400,1600,1600,1700,1800,2000,2000,2000,2000,2000,81,0,1000.0,1130.9897135061726,339.5864999999998,1998.128542,137.0
1703780250,15,,Aggregated,6.200000,0.000000,1100,1500,1600,1700,1800,1900,2000,2100,2100,2100,2100,87,0,1100.0,1184.55918537931,339.5864999999998,2106.608207999999,137.0
1703780251,16,,Aggregated,6.400000,0.000000,1100,1600,1700,1800,1900,2000,2100,2200,2200,2200,2200,95,0,1100.0,1247.9709587999996,339.5864999999998,2165.582624999999,137.0
1703780252,17,,Aggregated,6.700000,0.000000,1200,1600,1700,1800,2000,2100,2200,2300,2600,2600,2600,101,0,1200.0,1303.9868172772274,339.5864999999998,2611.8781250000006,137.0
1703780253,18,,Aggregated,6.900000,0.000000,1400,1700,1800,1900,2100,2200,2400,2600,2600,2600,2600,107,0,1400.0,1357.6367434018691,339.5864999999998,2611.8781250000006,137.0
1703780254,19,,Aggregated,7.000000,0.000000,1500,1700,1900,2000,2200,2400,2700,2800,2800,2800,2800,115,0,1500.0,1430.759180817391,339.5864999999998,2849.021208,137.0
1703780255,20,,Aggregated,7.100000,0.000000,1600,1900,2000,2100,2400,2600,2800,2900,2900,2900,2900,123,0,1600.0,1504.677903804878,339.5864999999998,2943.867749999999,137.0
1703780256,21,,Aggregated,7.100000,0.000000,1600,1900,2100,2200,2500,2800,2900,2900,3000,3000,3000,130,0,1600.0,1569.0664275692307,339.5864999999998,2975.1635000000006,137.0
1703780257,22,,Aggregated,6.800000,0.000000,1600,2000,2200,2300,2700,2900,3000,3000,3600,3600,3600,137,0,1600.0,1634.2207953211678,339.5864999999998,3586.3270840000005,137.0
1703780258,23,,Aggregated,6.900000,0.000000,1700,2100,2300,2400,2800,2900,3000,3400,3600,3600,3600,144,0,1700.0,1695.401593458333,339.5864999999998,3586.3270840000005,137.0
1703780259,24,,Aggregated,6.800000,0.000000,1700,2100,2400,2500,2800,2900,3400,3600,3700,3700,3700,148,0,1700.0,1729.4947271959456,339.5864999999998,3670.9732499999996,137.0
1703780260,25,,Aggregated,6.900000,0.000000,1800,2200,2500,2700,2900,3600,4000,4200,4900,4900,4900,158,0,1800.0,1856.5943095949365,339.5864999999998,4910.741541,137.0
1703780261,26,,Aggregated,6.800000,0.000000,1900,2300,2600,2800,3000,3700,4000,4200,4900,4900,4900,164,0,1900.0,1907.6662545670729,339.5864999999998,4910.741541,137.0
1703780262,27,,Aggregated,6.300000,0.000000,1900,2400,2700,2800,3200,3800,4100,4500,4900,4900,4900,171,0,1900.0,1964.477736836257,339.5864999999998,4910.741541,137.0
1703780263,28,,Aggregated,6.700000,0.000000,1900,2400,2700,2800,3500,3900,4200,4500,4900,4900,4900,177,0,1900.0,2006.9954324350279,339.5864999999998,4910.741541,137.0
1703780264,29,,Aggregated,6.800000,0.000000,2000,2500,2800,2900,3500,3900,4200,4500,4900,4900,4900,185,0,2000.0,2063.535852708108,339.5864999999998,4910.741541,137.0
1703780265,30,,Aggregated,6.800000,0.000000,2000,2600,2900,3000,3600,4000,4500,4500,4900,4900,4900,191,0,2000.0,2116.6915591204183,339.5864999999998,4910.741541,137.0
1703780266,31,,Aggregated,6.700000,0.000000,2100,2700,2900,3200,3700,4100,4500,4600,4900,4900,4900,198,0,2100.0,2179.910397515151,339.5864999999998,4910.741541,137.0
1703780267,32,,Aggregated,6.800000,0.000000,2200,2700,3000,3300,3800,4300,4600,4700,4900,4900,4900,204,0,2200.0,2236.4726006960786,339.5864999999998,4910.741541,137.0
1703780268,33,,Aggregated,6.900000,0.000000,2200,2800,3200,3400,3900,4500,4700,4700,4900,4900,4900,212,0,2200.0,2303.1752250283016,339.5864999999998,4910.741541,137.0
1703780269,34,,Aggregated,7.100000,0.000000,2300,2900,3300,3500,4000,4600,4800,4900,5400,5400,5400,219,0,2300.0,2372.752874602739,339.5864999999998,5425.2602910000005,137.0
1703780270,35,,Aggregated,6.900000,0.000000,2400,2900,3400,3600,4100,4700,4800,5100,5400,5400,5400,226,0,2300.0,2432.1719894734515,339.5864999999998,5425.2602910000005,137.0
