Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1703615420,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1703615421,1,,Aggregated,0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,7,0,140.0,137.71626799999999,135.53929199999982,142.343167,147.0
1703615422,2,,Aggregated,0.000000,0.000000,140,270,270,270,280,280,280,280,280,280,280,13,0,140.0,197.31335576923078,135.53929199999982,282.67450000000014,147.0
1703615423,3,,Aggregated,1.000000,0.000000,270,280,370,380,460,470,470,470,470,470,470,20,0,270.0,264.1277646499999,135.53929199999982,469.1354579999998,147.0
1703615424,4,,Aggregated,4.000000,0.000000,280,400,470,480,550,570,590,590,590,590,590,27,0,280.0,331.03020222222216,135.53929199999982,593.254666,147.0
1703615425,5,,Aggregated,5.000000,0.000000,380,480,550,590,650,690,750,750,750,750,750,33,0,380.0,390.4970215454544,135.53929199999982,746.6065419999994,147.0
1703615426,6,,Aggregated,5.250000,0.000000,480,590,670,700,780,890,920,920,920,920,920,42,0,470.0,474.79726499999975,135.53929199999982,922.0589170000002,147.0
1703615427,7,,Aggregated,5.600000,0.000000,550,650,740,760,910,940,1000,1000,1000,1000,1000,48,0,540.0,524.1291224999999,135.53929199999982,1017.8674579999996,147.0
1703615428,8,,Aggregated,6.000000,0.000000,580,700,780,890,950,1100,1100,1200,1200,1200,1200,52,0,570.0,568.4738694999999,135.53929199999982,1230.5729999999996,147.0
1703615429,9,,Aggregated,6.000000,0.000000,640,820,920,950,1100,1200,1200,1200,1200,1200,1200,61,0,640.0,645.5347077213113,135.53929199999982,1230.5729999999996,147.0
1703615430,10,,Aggregated,6.125000,0.000000,690,910,1000,1100,1200,1200,1200,1300,1300,1300,1300,67,0,690.0,690.9583358805969,135.53929199999982,1264.5496250000008,147.0
1703615431,11,,Aggregated,6.222222,0.000000,760,1000,1100,1200,1400,1600,1700,2000,2000,2000,2000,76,0,750.0,795.5613953552631,135.53929199999982,1981.4286249999996,147.0
1703615432,12,,Aggregated,6.300000,0.000000,870,1100,1200,1200,1500,1600,1700,2000,2000,2000,2000,83,0,870.0,843.5854102048193,135.53929199999982,1981.4286249999996,147.0
1703615433,13,,Aggregated,6.700000,0.000000,910,1100,1200,1400,1600,1700,1900,2000,2000,2000,2000,89,0,910.0,895.6436990224722,135.53929199999982,1981.4286249999996,147.0
1703615434,14,,Aggregated,6.800000,0.000000,950,1200,1400,1500,1700,1800,2000,2000,2000,2000,2000,97,0,950.0,966.4980344226808,135.53929199999982,2026.4321250000012,147.0
1703615435,15,,Aggregated,6.800000,0.000000,1100,1200,1500,1600,1800,2000,2100,2100,2300,2300,2300,103,0,1100.0,1026.9698794854376,135.53929199999982,2303.34225,147.0
1703615436,16,,Aggregated,6.900000,0.000000,1100,1400,1600,1700,1900,2000,2100,2300,2300,2300,2300,109,0,1100.0,1078.7527010917436,135.53929199999982,2303.34225,147.0
1703615437,17,,Aggregated,6.900000,0.000000,1100,1500,1700,1800,2000,2100,2300,2600,2700,2700,2700,119,0,1100.0,1165.5679909159667,135.53929199999982,2670.112583,147.0
1703615438,18,,Aggregated,6.800000,0.000000,1100,1600,1700,1800,2000,2100,2400,2600,2700,2700,2700,123,0,1100.0,1194.1380162845533,135.53929199999982,2670.112583,147.0
1703615439,19,,Aggregated,6.800000,0.000000,1200,1700,1900,2000,2200,2400,2600,2700,2900,2900,2900,134,0,1200.0,1292.3239176343288,135.53929199999982,2912.884957999999,147.0
1703615440,20,,Aggregated,7.200000,0.000000,1300,1700,1900,2000,2300,2600,2700,2900,2900,2900,2900,137,0,1300.0,1321.8246888905114,135.53929199999982,2912.884957999999,147.0
1703615441,21,,Aggregated,6.800000,0.000000,1400,1800,2000,2100,2400,2700,3100,3100,3600,3600,3600,146,0,1400.0,1404.5975696506857,135.53929199999982,3555.938249999997,147.0
1703615442,22,,Aggregated,7.100000,0.000000,1500,1800,2100,2100,2400,2700,3000,3100,3600,3600,3600,151,0,1500.0,1438.3778256158948,135.53929199999982,3555.938249999997,147.0
1703615443,23,,Aggregated,7.000000,0.000000,1600,2000,2100,2300,2600,2900,3200,3300,3600,3600,3600,161,0,1600.0,1522.4789246894418,135.53929199999982,3555.938249999997,147.0
1703615444,24,,Aggregated,7.300000,0.000000,1600,2000,2200,2300,2700,3000,3200,3300,3600,3600,3600,164,0,1600.0,1545.521450207318,135.53929199999982,3555.938249999997,147.0
1703615445,25,,Aggregated,6.900000,0.000000,1700,2100,2300,2500,3000,3300,3600,3700,3800,3800,3800,175,0,1700.0,1655.5110873771437,135.53929199999982,3756.019958000003,147.0
1703615446,26,,Aggregated,7.300000,0.000000,1700,2100,2400,2600,3100,3300,3600,3700,3800,3800,3800,183,0,1700.0,1718.039583322405,135.53929199999982,3756.019958000003,147.0
1703615447,27,,Aggregated,7.000000,0.000000,1800,2200,2500,2700,3200,3400,3700,3700,3800,3800,3800,188,0,1800.0,1763.746605712767,135.53929199999982,3756.019958000003,147.0
1703615448,28,,Aggregated,7.100000,0.000000,1800,2300,2600,2800,3200,3600,3700,3700,3800,3800,3800,193,0,1800.0,1804.4789881139907,135.53929199999982,3756.019958000003,147.0
1703615449,29,,Aggregated,7.300000,0.000000,1900,2400,2700,3000,3300,3600,3700,3800,4000,4000,4000,200,0,1800.0,1869.578788320001,135.53929199999982,3984.3036670000024,147.0
1703615450,30,,Aggregated,6.700000,0.000000,1900,2400,2800,3100,3500,3700,4000,4400,4600,4600,4600,206,0,1900.0,1936.5549243349524,135.53929199999982,4593.074625,147.0
1703615451,31,,Aggregated,7.000000,0.000000,2000,2600,3100,3200,3700,3900,4500,4600,4800,4800,4800,219,0,2000.0,2057.3617807945216,135.53929199999982,4844.769791000001,147.0
1703615452,32,,Aggregated,6.600000,0.000000,2000,2600,3100,3200,3700,3800,4500,4600,4800,4800,4800,222,0,2000.0,2079.433474072073,135.53929199999982,4844.769791000001,147.0
1703615453,33,,Aggregated,6.900000,0.000000,2100,2700,3200,3400,3700,4100,4600,4700,5100,5100,5100,229,0,2100.0,2141.7553795196513,135.53929199999982,5098.559708,147.0
1703615454,34,,Aggregated,7.100000,0.000000,2100,2900,3300,3500,3800,4200,4600,4800,5100,5100,5100,239,0,2100.0,2214.439278217574,135.53929199999982,5098.559708,147.0
1703615455,35,,Aggregated,7.000000,0.000000,2100,3000,3300,3600,3800,4400,4600,4800,5100,5100,5100,243,0,2100.0,2249.494148637861,135.53929199999982,5098.559708,147.0
1703615456,36,,Aggregated,7.000000,0.000000,2300,3100,3500,3700,4100,4600,4700,5000,5100,5100,5100,255,0,2300.0,2357.253518435295,135.53929199999982,5098.559708,147.0
1703615457,37,,Aggregated,7.200000,0.000000,2300,3200,3600,3700,4100,4600,4700,5000,5100,5100,5100,258,0,2300.0,2376.481724620156,135.53929199999982,5098.559708,147.0
1703615458,38,,Aggregated,6.900000,0.000000,2300,3200,3600,3700,4300,4600,4800,5000,5100,5100,5100,262,0,2300.0,2410.7268865877877,135.53929199999982,5098.559708,147.0
1703615459,39,,Aggregated,7.300000,0.000000,2400,3300,3700,3800,4500,4800,5100,5500,5700,5700,5700,272,0,2400.0,2510.8440174411776,135.53929199999982,5693.948875000004,147.0
1703615460,40,,Aggregated,7.000000,0.000000,2500,3400,3700,3900,4600,5000,5500,5700,6100,6100,6100,280,0,2400.0,2584.7544523535726,135.53929199999982,6146.877625000002,147.0
1703615461,41,,Aggregated,6.900000,0.000000,2600,3500,3800,4100,4700,5100,5500,5700,6100,6100,6100,286,0,2600.0,2637.810974769231,135.53929199999982,6146.877625000002,147.0
1703615462,42,,Aggregated,7.200000,0.000000,2600,3600,3800,4200,4800,5300,5700,5700,6100,6100,6100,293,0,2600.0,2710.2099894470994,135.53929199999982,6146.877625000002,147.0
1703615463,43,,Aggregated,7.500000,0.000000,2700,3600,3900,4400,5000,5400,5700,6100,6300,6300,6300,299,0,2700.0,2763.7668856989967,135.53929199999982,6252.619542000005,147.0
1703615464,44,,Aggregated,6.800000,0.000000,2800,3700,4100,4500,5100,5400,5700,5700,6300,6300,6300,309,0,2800.0,2838.7745912588994,135.53929199999982,6252.619542000005,147.0
1703615465,45,,Aggregated,7.200000,0.000000,2900,3700,4200,4600,5100,5500,5700,6000,6300,6300,6300,312,0,2900.0,2865.1185927852566,135.53929199999982,6252.619542000005,147.0
1703615466,46,,Aggregated,6.600000,0.000000,3000,3800,4400,4700,5300,5700,6100,6200,6300,6300,6300,322,0,3000.0,2961.4291432173914,135.53929199999982,6330.599250000006,147.0
1703615467,47,,Aggregated,7.000000,0.000000,3100,3800,4500,4700,5400,5700,6100,6300,6300,6300,6300,328,0,3000.0,3012.0145251280487,135.53929199999982,6330.599250000006,147.0
1703615468,48,,Aggregated,7.100000,0.000000,3100,3900,4600,4800,5500,5800,6300,6300,6600,6600,6600,334,0,3100.0,3067.8437416167662,135.53929199999982,6644.073333000001,147.0
1703615469,49,,Aggregated,6.600000,0.000000,3200,4100,4700,5000,5600,6100,6300,6300,6600,6600,6600,346,0,3200.0,3165.4429302514445,135.53929199999982,6644.073333000001,147.0
1703615470,50,,Aggregated,7.100000,0.000000,3200,4100,4800,5100,5700,6100,6300,6400,6600,6600,6600,353,0,3200.0,3222.32385845609,135.53929199999982,6644.073333000001,147.0
1703615471,51,,Aggregated,7.100000,0.000000,3300,4300,4900,5200,5800,6100,6300,6400,6600,6600,6600,360,0,3300.0,3274.2379165305547,135.53929199999982,6644.073333000001,147.0
1703615472,52,,Aggregated,7.400000,0.000000,3300,4400,4900,5300,5800,6100,6300,6400,6600,6600,6600,363,0,3300.0,3294.9304290440764,135.53929199999982,6644.073333000001,147.0
1703615473,53,,Aggregated,7.300000,0.000000,3400,4500,5100,5400,5900,6300,6600,6900,7100,7100,7100,372,0,3400.0,3376.8045534059133,135.53929199999982,7095.772917000005,147.0
1703615474,54,,Aggregated,7.200000,0.000000,3500,4600,5100,5500,6100,6300,6700,6900,7100,7100,7100,377,0,3500.0,3421.134912557029,135.53929199999982,7095.772917000005,147.0
1703615475,55,,Aggregated,6.900000,0.000000,3500,4600,5200,5500,6100,6400,6900,7000,7300,7300,7300,383,0,3500.0,3472.727915772846,135.53929199999982,7284.2096660000025,147.0
1703615476,56,,Aggregated,7.300000,0.000000,3600,4700,5400,5700,6300,6800,7100,7300,7600,7600,7600,394,0,3600.0,3575.5338733984768,135.53929199999982,7592.744791999998,147.0
1703615477,57,,Aggregated,7.000000,0.000000,3600,4800,5500,5700,6300,6900,7200,7300,7800,7800,7800,402,0,3600.0,3647.226112753731,135.53929199999982,7848.589292,147.0
1703615478,58,,Aggregated,6.800000,0.000000,3700,4900,5500,5800,6600,7000,7300,7400,7800,7800,7800,409,0,3700.0,3706.808068552567,135.53929199999982,7848.589292,147.0
1703615479,59,,Aggregated,7.200000,0.000000,3700,5000,5600,5900,6700,7100,7300,7400,8000,8000,8000,414,0,3700.0,3752.1930133792266,135.53929199999982,7980.858584000003,147.0
1703615480,60,,Aggregated,7.400000,0.000000,3700,5000,5700,6000,6900,7100,7400,7600,8000,8000,8000,421,0,3700.0,3810.727494947743,135.53929199999982,7980.858584000003,147.0
1703615481,61,,Aggregated,7.500000,0.000000,3800,5200,5700,6100,7000,7300,7400,7700,8100,8100,8100,431,0,3800.0,3892.347115617167,135.53929199999982,8074.901375000003,147.0
1703615482,62,,Aggregated,6.800000,0.000000,3800,5200,5800,6200,7000,7300,7500,7700,8100,8100,8100,437,0,3800.0,3938.5229096086937,135.53929199999982,8074.901375000003,147.0
1703615483,63,,Aggregated,6.600000,0.000000,3900,5300,5900,6300,7100,7300,7600,7700,8100,8100,8100,445,0,3900.0,3998.5772879190995,135.53929199999982,8074.901375000003,147.0
1703615484,64,,Aggregated,7.100000,0.000000,4000,5400,6100,6300,7100,7400,7600,7800,8100,8100,8100,451,0,4000.0,4047.008509882482,135.53929199999982,8074.901375000003,147.0
1703615485,65,,Aggregated,7.500000,0.000000,4100,5500,6100,6600,7200,7500,7800,8100,8400,8400,8400,460,0,4100.0,4125.845695197825,135.53929199999982,8388.456375000003,147.0
1703615486,66,,Aggregated,7.300000,0.000000,4100,5500,6200,6600,7300,7600,8000,8200,8500,8500,8500,463,0,4100.0,4152.028821453563,135.53929199999982,8493.95791700001,147.0
1703615487,67,,Aggregated,7.200000,0.000000,4300,5600,6300,6900,7400,7800,8300,8600,9900,9900,9900,473,0,4300.0,4247.476648164904,135.53929199999982,9853.344375000006,147.0
1703615488,68,,Aggregated,7.700000,0.000000,4400,5700,6300,6900,7400,7900,8400,8700,9900,9900,9900,478,0,4300.0,4289.01170161297,135.53929199999982,9853.344375000006,147.0
1703615489,69,,Aggregated,6.900000,0.000000,4500,5700,6400,7000,7500,8000,8500,9000,9900,9900,9900,486,0,4500.0,4356.18287970576,135.53929199999982,9853.344375000006,147.0
1703615490,70,,Aggregated,7.000000,0.000000,4500,5700,6600,7000,7600,8200,8700,9300,9900,9900,9900,492,0,4500.0,4411.666609491867,135.53929199999982,9853.344375000006,147.0
1703615491,71,,Aggregated,6.900000,0.000000,4600,5800,6800,7100,7800,8500,9100,9300,9900,9900,9900,500,0,4600.0,4485.237273157997,135.53929199999982,9853.344375000006,147.0
1703615492,72,,Aggregated,7.200000,0.000000,4600,5900,6900,7100,7900,8600,9200,9400,10000,10000,10000,507,0,4600.0,4550.068653098616,135.53929199999982,9957.403166000006,147.0
1703615493,73,,Aggregated,7.100000,0.000000,4700,6100,7000,7200,8100,8900,9300,9400,10000,10000,10000,514,0,4700.0,4616.151667068091,135.53929199999982,9957.403166000006,147.0
1703615495,74,,Aggregated,6.900000,0.000000,4700,6100,7000,7300,8200,9000,9400,9600,10000,10000,10000,520,0,4700.0,4667.849432446151,135.53929199999982,9957.403166000006,147.0
1703615496,75,,Aggregated,6.900000,0.000000,4800,6200,7100,7300,8400,9100,9500,9700,10000,10000,10000,527,0,4800.0,4734.898439430739,135.53929199999982,10282.576040999998,147.0
1703615497,76,,Aggregated,6.900000,0.000000,4800,6300,7100,7400,8600,9300,9600,9900,10000,10000,10000,535,0,4800.0,4805.738571100934,135.53929199999982,10282.576040999998,147.0
1703615498,77,,Aggregated,6.900000,0.000000,4900,6300,7100,7400,8700,9400,9700,10000,10000,10000,10000,542,0,4900.0,4869.602467090406,135.53929199999982,10282.576040999998,147.0
1703615499,78,,Aggregated,6.700000,0.000000,5000,6400,7200,7600,9000,9500,9800,10000,10000,10000,10000,551,0,5000.0,4947.676265346644,135.53929199999982,10282.576040999998,147.0
1703615500,79,,Aggregated,7.200000,0.000000,5100,6600,7300,7700,9100,9600,9900,10000,10000,10000,10000,558,0,5100.0,5008.340750292115,135.53929199999982,10282.576040999998,147.0
1703615501,80,,Aggregated,7.300000,0.000000,5100,6700,7300,7800,9200,9600,9900,10000,10000,10000,10000,564,0,5100.0,5058.975209067377,135.53929199999982,10284.163625000005,147.0
1703615502,81,,Aggregated,7.200000,0.000000,5200,6900,7400,8000,9400,9700,10000,10000,10000,10000,10000,573,0,5200.0,5135.07526555323,135.53929199999982,10313.782000000003,147.0
1703615503,82,,Aggregated,7.200000,0.000000,5300,6900,7400,8100,9400,9800,10000,10000,10000,10000,10000,578,0,5200.0,5176.795202629759,135.53929199999982,10313.782000000003,147.0
1703615504,83,,Aggregated,7.100000,0.000000,5300,7000,7500,8200,9500,9800,10000,10000,11000,11000,11000,583,0,5300.0,5220.0192409879955,135.53929199999982,10892.333874999991,147.0
1703615505,84,,Aggregated,7.100000,0.000000,5400,7000,7700,8300,9600,9900,10000,11000,12000,12000,12000,591,0,5400.0,5298.374842071067,135.53929199999982,11703.313916999989,147.0
1703615506,85,,Aggregated,7.100000,0.000000,5500,7100,7800,8600,9700,10000,10000,11000,12000,12000,12000,601,0,5500.0,5383.272837903494,135.53929199999982,11703.313916999989,147.0
1703615507,86,,Aggregated,6.900000,0.000000,5500,7100,7900,8700,9700,10000,11000,11000,12000,12000,12000,607,0,5500.0,5432.507357215817,135.53929199999982,11703.313916999989,147.0
